Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
ros,ross
accel,excel
catkin,cat can
ls,elis
mu,mew
mu,meu
frac,frack
repos,repose
phi,fy
phi,fie
Euler,oiler
zeros,zeroes
jacobian,Jacobean
segway,segue
eigenvalue,eigen value
eigenvector,eigen vector
pi,pie
cos,cosine
ref,wreath
tilde,tilda
discrete,discreet
add,ad
sudo,pseudo
linux,Linux
mod,maud
colored,coloured
eta,ada
sensor,censor
theta,feta
frac,fract
modeled,modelled
modeling,modelling
align,Arline
pole,poll
xi,si
xi,sigh
kernel,colonel
jupyter,jupiter
cmake,simic
core,corps
enumerate,innumerate
arduino,Arduino
arduino,adreno
pico,picot
teensy,teens
arcli,archly
SPI,spy
LoRa,laura
serial,cereal
